Japanese,Chinese,Example_JP,Example_CN,Example_Furigana,Grammar_Notes,Audio_Path
作法,做法,この料理の作法を教えてください。,请教我这道菜的做法。,<ruby>この<rt>この</rt></ruby><ruby>料理<rt>りょうり</rt></ruby>の<ruby>作法<rt>さほう</rt></ruby>を<ruby>教えて<rt>おしえて</rt></ruby><ruby>ください<rt>ください</rt></ruby>。,<ol><li>この：指示词，意思为“这个”。</li><li>料理（りょうり）：名词，意为“料理、菜肴”。</li><li>の：表示所属或修饰，相当于“的”。</li><li>作法（さほう）：名词，意思是“做法、方法、礼仪”，此处指具体操作方法。日语中根据语境既可以指方法，也可以指礼节。</li><li>を：助词，表示动作的对象（宾语标记）。</li><li>教えてください：动词“教える”的て形加“ください”，是礼貌请求别人做某事，意思是“请告诉我/请教我”。</li><li>日语中的“作法”有时也用来指茶道或礼仪的正式做法，在和食、茶道等日式文化中经常遇到。</li></ol>,[sound:jlpt_vocabulary_in_sentence_作法.mp3]
様々,各种各样,様々な人が集まりました。,聚集了各种各样的人。,<ruby>様々<rt>さまざま</rt></ruby>な<ruby>人<rt>ひと</rt></ruby>が<ruby>集まりました<rt>あつまりました</rt></ruby>。,<ol><li>様々（さまざま）：意思是“各种各样”，作为形容动词使用，后接「な」修饰名词。</li><li>な：形容动词「様々」的连体形式，接在名词前。</li><li>人（ひと）：表示“人”。</li><li>が：主格助词，指明主语。</li><li>集まりました（あつまりました）：动词「集まる」的过去敬体形式，表示“集合了、聚集了”。</li><li>文化背景补充：日本社会重视不同背景、立场的人在活动或会议上的参与，这里的“様々な人”强调多样性。</li></ol>,[sound:jlpt_vocabulary_in_sentence_様々.mp3]
冷ます,放凉,熱いスープを冷ましてから飲みます。,把热汤放凉后再喝。,<ruby>熱い<rt>あつい</rt></ruby>スープを<ruby>冷まして<rt>さまして</rt></ruby>から<ruby>飲みます<rt>のみます</rt></ruby>。,<ol><li>熱い（あつい）：形容词，表示“热的”。</li><li>スープ：外来词，意为“汤”。</li><li>を：助词，表示动作的对象。</li><li>冷ます（さます）：动词，表示“使……变凉”，多用于烫的食物或饮品。</li><li>〜てから：表示“做完前项动作后，进行后项动作”。</li><li>飲みます（のみます）：动词，表示“喝”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_冷ます.mp3]
覚ます,叫醒,私は毎朝六時に目を覚ます。,我每天早上六点醒来。,<ruby>私<rt>わたし</rt></ruby>は<ruby>毎朝<rt>まいあさ</rt></ruby><ruby>六時<rt>ろくじ</rt></ruby>に<ruby>目<rt>め</rt></ruby>を<ruby>覚ます<rt>さます</rt></ruby>。,<ol><li>私（わたし）：第一人称，表示“我”。</li><li>毎朝（まいあさ）：表示“每天早上”。“毎”表示“每”，“朝”表示“早晨”。</li><li>六時（ろくじ）：表示“六点钟”。“時”是计时用词。</li><li>に：表示时间点的助词，用于表示动作发生的具体时间。</li><li>目（め）：表示“眼睛”，这里指“目を覚ます”中的“目”。</li><li>を：宾语助词，连接动词和宾语。</li><li>覚ます（さます）：他动词，意为“使醒来”“叫醒”。这个词常用在“目を覚ます”（醒来）作为固定表达。如果形容自己醒来常用“目が覚める”（めがさめる，自动词）。</li><li>语法点：日语中动词「覚ます」为他动词，表示由某种原因导致醒来，比如闹钟叫醒我。而自动词「覚める」则表示自己自然地醒来。使用时需区分主语和宾语。</li></ol>,[sound:jlpt_vocabulary_in_sentence_覚ます.mp3]
冷める,变冷，冷却,コーヒーが冷める前に飲んでください。,请在咖啡变冷之前喝掉。,コーヒーが<ruby>冷める<rt>さめる</rt></ruby><ruby>前<rt>まえ</rt></ruby>に<ruby>飲んで<rt>のんで</rt></ruby><ruby>ください<rt>ください</rt></ruby>。,"<ol><li>コーヒー（こうひー）：咖啡。</li><li>が：主格助词，标记主语。</li><li>冷める（さめる）：自動词，表示温度、感情等变冷、降温、退却。区别于冷やす（ひやす，主动冷却）、冷える（ひえる，自然冷但无变化过程）。</li><li>前に（まえに）：表示在某事发生“之前”。</li><li>飲んでください（のんでください）：动词“飲む”（のむ，喝）的て形加「ください」，表示“请做……”的礼貌请求。</li><li>句子语法结构为「Aが冷める前にBしてください」, 用于建议对方在某事变化前做某事。</li><li>在日本，热的咖啡变冷后口感会变差，因此常建议“趁热喝”。</li></ol>",[sound:jlpt_vocabulary_in_sentence_冷める.mp3]
左右,左右、影响,天気が旅行の計画を左右します。,天气会影响旅游的计划。,<ruby>天気<rt>てんき</rt></ruby>が<ruby>旅行<rt>りょこう</rt></ruby>の<ruby>計画<rt>けいかく</rt></ruby>を<ruby>左右します<rt>さゆうします</rt></ruby>。,<ol><li>天気（てんき）：天气。</li><li>旅行（りょこう）：旅行、旅游。</li><li>計画（けいかく）：计划。</li><li>左右（さゆう）する：作动词时表示“支配、影响、左右”。这里用“左右します”为敬体形式（ます形）。</li><li>助词“が”表示主语，“の”连接名词，“を”表示宾语。</li><li>“左右”除了表示左右手方向外，常用含义为支配、影响、决定等，日语中和中文较为相近。</li></ol>,[sound:jlpt_vocabulary_in_sentence_左右.mp3]
皿,盘子,テーブルの上に皿があります。,桌子上有盘子。,<ruby>テーブル<rt>てーぶる</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>に<ruby>皿<rt>さら</rt></ruby>が<ruby>あります<rt>あります</rt></ruby>。,<ol><li>テーブル：外来词，指桌子。</li><li>の：表所属的助词，连接前后两个名词。</li><li>上（うえ）：名词，表示“上面”。常和助词に连用。</li><li>皿（さら）：意思是“盘子”。与料理、餐具相关，多用于放食物。</li><li>に：表示出现的场所，接在场所名词后面。</li><li>あります：表示“存在（无生命物品）”。用于物体、植物等。</li><li>が：主语助词，标记主语。这里指“盘子”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_皿.mp3]
更に,更加,彼は更に努力しました。,他更加努力了。,<ruby>彼は<rt>かれは</rt></ruby><ruby>更に<rt>さらに</rt></ruby><ruby>努力しました<rt>どりょくしました</rt></ruby>。,<ol><li>彼（かれ）：他，男性的人称代词。</li><li>更に（さらに）：副词，表示“更加”、“再一次、更进一步”，常用于递进含义。</li><li>努力しました（どりょくしました）：动词“努力する”（努力）的过去式，表示已经努力了。</li><li>语法结构：主语+は+副词+动词过去式，典型的日本语顺序。</li><li>文化补充：“努力”（どりょく）在日本文化中是一种高度评价的品质，被认为持续付出是值得称赞的行为。</li></ol>,[sound:jlpt_vocabulary_in_sentence_更に.mp3]
去る,离开，过去,友人が突然町を去った。,朋友突然离开了这个小镇。,<ruby>友人<rt>ゆうじん</rt></ruby>が<ruby>突然<rt>とつぜん</rt></ruby><ruby>町<rt>まち</rt></ruby>を<ruby>去った<rt>さった</rt></ruby>。,<ol><li>友人（ゆうじん）：朋友。</li><li>が：主格助词，表示主语。</li><li>突然（とつぜん）：突然，副词，表示某事发生得很快、出乎意料。</li><li>町（まち）：小镇、城市。</li><li>を：宾格助词，表示动作的对象。</li><li>去る（さる）：动词，表示“离开、过去、消失”。在此用“去った”为其过去式，意思是“离开了”。</li><li>本句语法结构为“主语+が+时间或原因（副词）+宾语+を+动词（过去式）”。</li><li>「去る」在正式或书面语中较常用，口语上常用「出る」（でる）、「離れる」（はなれる）等表达离开的动作。</li></ol>,[sound:jlpt_vocabulary_in_sentence_去る.mp3]
猿,猴子,動物園で猿を見ました。,我在动物园看到了猴子。,<ruby>動物園<rt>どうぶつえん</rt></ruby>で<ruby>猿<rt>さる</rt></ruby>を<ruby>見ました<rt>みました</rt></ruby>。,<ol><li>動物園（どうぶつえん）：动物园。「動物」是动物，「園」是园。</li><li>で：表示动作发生的场所，相当于中文“在”。</li><li>猿（さる）：猴子。这是日语常用的动物名词。</li><li>を：宾语助词，标记动作对象。</li><li>見ました（みました）：「見る」的敬体过去式，表示“看到了”。</li><li>语法点：句型“〜で〜を見ました”常用于描述在某地看到了某物。</li></ol>,[sound:jlpt_vocabulary_in_sentence_猿.mp3]
